word,count
行く,26
ない,20
飲む,16
く,10
ちゃう,10
さん,6
みる,6
ら,6
私,6
見る,5
コーヒー,5
今日,5
食べる,4
みたい,4
痛い,4
時間,4
アイス,4
思う,4
昼,3
夫婦,3
やつ,3
いい,3
でる,3
好き,3
目,3
最近,3
人,3
的,3
中,3
休憩,3
友達,3
言う,3
笑,3
時,3
頼む,3
頂く,2
美味しい,2
店,2
名古屋,2
食う,2
子,2
もの,2
モード,2
泣く,2
なん,2
高,2
とこ,2
買う,2
すぎる,2
痛み,2
回,2
仕事,2
いう,2
下さる,2
店員,2
地元,2
来る,2
店内,2
今年,2
心,2
もらう,2
嬉しい,2
日,2
一緒,2
買い物,2
原因,2
勉強,2
頃,2
内,2
新作,2
贅沢,2
毎週,2
うまい,2
出来る,2
ホット,2
いく,2
お母さん,2
歩く,2
やる,2
つける,2
劇場,2
版,2
旦那,2
誰,2
眠い,2
ティー,2
とく,2
鳥取,2
疲れる,2
帰り,2
甘い,2
ショート,2
長女,2
差し入れ,1
さい,1
いただく,1
エア,1
ふくろう,1
カフェ,1
わたる,1
観光,1
名物,1
癒す,1
胃,1
埋める,1
ノー,1
家系,1
屋,1
一,1
度目,1
良い,1
マクドナルド,1
ケンタッキー,1
豪遊,1
うたう,1
ストーリー,1
めちゃくちゃ,1
なげる,1
難しい,1
みそ,1
とちる,1
キレイ,1
今,1
蕎麦,1
図書館,1
すごい,1
デート,1
混む,1
裏道,1
栗,1
ずくめ,1
モンブラン,1
裏,1
伊丹,1
ついで,1
飯,1
繋がる,1
あまり,1
重なる,1
まくる,1
大事,1
負け,1
転送,1
お昼,1
ご飯,1
ワクチン,1
待機,1
注射,1
初め,1
困る,1
アップルパイ,1
チョコ,1
ケーキ,1
がんばる,1
芋,1
フリ,1
営業,1
所,1
開く,1
麺,1
湯,1
切り,1
できる,1
ドライブ,1
スルー,1
行列,1
社会,1
甥,1
ゴールデンウィーク,1
にる,1
ろう,1
剣,1
最終,1
章,1
観,1
とき,1
初,1
給料,1
ご馳走,1
イチ,1
ワタ,1
シ,1
寂しい,1
かんじとる,1
感じ,1
量産,1
型,1
食いしん坊,1
ヤクザ,1
おじさん,1
おる,1
ところ,1
起きる,1
朝,1
ごはん,1
午前,1
散歩,1
ひと休み,1
スーパー,1
頭痛,1
治る,1
皮膚,1
科,1
鎮痛,1
剤,1
効果,1
結局,1
わかる,1
現在,1
会,1
ずる,1
ちる,1
くん,1
ゴールド,1
スター,1
昇格,1
厳しい,1
頻繁,1
シャワー,1
浴びる,1
前後,1
目指す,1
トッピング,1
珍しい,1
誕生,1
貰う,1
チケット,1
和,1
三盆,1
ほうじ茶,1
相手,1
暴れる,1
ラーメン,1
学生,1
並,1
回数,1
増える,1
よう,1
ポイント,1
たまる,1
海浜幕張,1
辿る,1
着く,1
改札,1
まわり,1
怪しい,1
そ,1
ゆ,1
マジ,1
はまる,1
さっき,1
行ける,1
サンマルク,1
無事,1
顔,1
覚える,1
施設,1
方,1
お客,1
多い,1
スタッフ,1
出来,1
一つ,1
違う,1
過ぎる,1
久しぶり,1
愛知,1
うどん,1
のす,1
イカ,1
天,1
もち,1
毎日,1
通る,1
デブ,1
活,1
垂直,1
道,1
こうそく,1
ろ,1
映える,1
向かう,1
向かい,1
花見,1
ティーセット,1
お茶,1
たす,1
星,1
飲食,1
反応,1
ほしい,1
カバン,1
可愛い,1
忍ぶ,1
出かける,1
取り出す,1
写真,1
とる,1
勇気,1
だし,1
車内,1
撮影,1
古書,1
街,1
代,1
なくなる,1
古本屋,1
少ない,1
よい,1
イモ,1
暇,1
悩む,1
ココア,1
前編,1
観る,1
たち,1
京,1
コンテナ,1
事,1
だらけ,1
小出,1
原信,1
いも,1
送る,1
半,1
潰す,1
しまう,1
すげる,1
笑顔,1
札束,1
数える,1
港,1
区,1
きょう,1
午後,1
してき,1
氏,1
勉,1
予定,1
家,1
夕方,1
行う,1
ゆず,1
暑い,1
ついてる,1
定型,1
文,1
部屋,1
片付ける,1
歯医者,1
折れる,1
虚無,1
広島大学,1
病院,1
マップ,1
入る,1
テンション,1
上がる,1
終わる,1
聞く,1
ダメ,1
悲しい,1
早め,1
歯磨き,1
セット,1
持つ,1
全国,1
唯一,1
県,1
考える,1
直撃,1
県知事,1
うち,1
帰る,1
寄る,1
声,1
かける,1
バイト,1
合間,1
秘密,1
め,1
おいしい,1
しあわせ,1
駅,1
カロリー,1
ドリンク,1
手,1
年齢,1
半分,1
以下,1
嬢,1
ちゃん,1
迷い,1
エレベーター,1
乗り込む,1
もん,1
動く,1
太る,1
お母ちゃん,1
体格,1
デカ,1
自主,1
規制,1
サイズ,1
左,1
トール,1
体,1
フラ,1
ペ,1
がち,1
昨日,1
提供,1
ドトール,1
ふる,1
無くなる,1
近所,1
一息,1
幸せ,1
銀座,1
抹茶,1
居座る,1
ブラック,1
三種,1
比べる,1
習い事,1
通り道,1
クリーム,1
次女,1
ジュース,1
恨めしい,1
紙,1
ストロー,1
洗礼,1
受ける,1
女性,1
女子高,1
生,1
命,1
はずせる,1
シュガー,1
ドーナツ,1
同士,1
みんな,1
発売,1
始める,1
売り切れ,1
続出,1
人気,1
味,1
チョコレート,1
キャラメル,1
２,1
種類,1
朝食,1
代わり,1
